ThreadCount,min,max,avg,last,cnt,tps,bytes,bps,err,sum
3,678,763,719,678,3,2,672,471,0,0
3,639,763,689,650,5,1,1120,403,0,0
3,629,763,679,629,6,2,1344,462,0,0
3,629,763,671,649,9,2,2016,470,0,0
3,629,763,670,656,10,1,2240,408,0,0
3,618,763,661,618,12,2,2688,470,0,0
3,618,763,659,650,14,1,3136,436,0,0
3,605,763,656,605,15,2,3360,460,0,0
3,605,763,658,688,16,1,3584,415,0,0
3,605,763,660,680,18,2,4032,460,0,0
3,605,763,663,689,20,1,4480,446,0,0
3,590,763,660,590,21,2,4704,454,0,0
3,590,763,663,731,22,1,4928,432,0,0
3,590,763,669,753,24,2,5376,459,0,0
3,590,763,670,702,25,1,5600,439,0,0
3,590,763,666,607,27,2,6048,461,0,0
3,590,763,668,722,28,1,6272,444,0,0
3,590,763,668,629,30,2,6720,465,0,0
3,590,891,681,850,32,2,7168,452,0,0
3,590,891,684,778,33,2,7392,458,0,0
3,590,1223,700,1223,34,1,7617,431,0,0
3,590,1233,729,1212,36,2,8067,448,0,0
3,590,1233,726,621,37,1,8291,439,0,0
3,590,1233,724,697,39,2,8739,448,0,0
3,590,1233,721,621,40,1,8963,447,0,0
3,590,1233,727,848,42,1,9411,443,0,0
3,590,1233,729,818,43,2,9635,451,0,0
3,590,1233,728,681,44,1,9859,440,0,0
3,590,1233,729,758,45,1,10083,447,0,0
3,590,1233,727,660,46,2,10307,453,0,0
3,590,1233,726,683,47,1,10531,443,0,0
3,567,1233,722,567,49,2,10979,452,0,0
3,567,1233,719,573,50,2,11203,450,0,0
3,567,1233,718,673,51,2,11427,448,0,0
3,567,1233,717,662,52,2,11651,455,0,0
3,554,1233,714,554,53,2,11875,456,0,0
3,554,1233,712,584,54,2,12099,455,0,0
3,554,1233,709,567,55,2,12323,460,0,0
3,554,1233,706,558,56,2,12547,457,0,0
3,554,1233,704,623,58,2,12995,460,0,0
3,554,1233,703,632,59,2,13219,457,0,0
3,554,1233,702,660,60,2,13443,459,0,0
3,554,1233,700,594,61,2,13667,465,0,0
3,554,1233,698,580,62,2,13891,461,0,0
3,554,1233,698,662,63,2,14115,462,0,0
3,554,1233,697,635,64,2,14339,466,0,0
3,554,1233,694,559,65,2,14563,460,0,0
3,554,1233,692,575,67,2,15011,464,0,0
3,554,1233,690,591,68,2,15235,463,0,0
3,554,1233,688,614,70,2,15683,468,0,0
3,547,1233,686,547,71,2,15907,463,0,0
3,547,1233,685,665,73,2,16355,467,0,0
3,547,1233,683,575,74,2,16579,465,0,0
3,547,1233,682,627,76,2,17027,468,0,0
3,547,1233,681,547,77,2,17251,468,0,0
3,547,1233,680,682,79,2,17699,466,0,0
3,547,1233,680,657,80,2,17923,469,0,0
3,547,1233,678,558,81,2,18147,467,0,0
3,547,1233,678,661,83,2,18595,470,0,0
3,547,1233,676,555,84,2,18819,466,0,0
3,547,1233,676,626,85,2,19043,466,0,0
3,547,1233,675,630,86,2,19267,469,0,0
3,547,1233,674,559,87,2,19491,470,0,0
3,547,1233,672,576,89,2,19939,471,0,0
3,547,1233,671,612,90,2,20163,469,0,0
3,547,1233,670,599,91,2,20387,471,0,0
3,547,1233,669,580,92,2,20611,474,0,0
3,547,1233,669,614,93,2,20835,469,0,0
3,547,1233,669,670,94,2,21059,470,0,0
3,547,1233,669,666,95,2,21283,474,0,0
3,547,1233,668,580,96,2,21507,470,0,0
3,547,1233,668,656,98,2,21955,474,0,0
3,539,1233,666,539,99,2,22179,472,0,0
3,539,1233,666,628,100,2,22403,470,0,0
3,539,1233,666,641,101,2,22627,473,0,0
3,539,1233,665,545,102,2,22851,474,0,0
3,539,1233,664,623,103,2,23075,471,0,0
3,539,1233,664,645,104,2,23299,474,0,0
3,539,1233,663,579,105,2,23523,475,0,0
3,539,1233,663,592,106,2,23747,473,0,0
3,539,1233,662,587,107,2,23971,473,0,0
3,539,1233,661,615,108,2,24195,475,0,0
3,539,1233,661,575,109,2,24419,475,0,0
3,539,1233,661,681,110,2,24643,474,0,0
3,539,1233,661,673,111,2,24867,477,0,0
3,539,1233,660,559,112,2,25091,478,0,0
3,539,1233,660,628,113,2,25315,474,0,0
3,539,1233,660,657,115,2,25763,479,0,0
3,539,1233,659,612,116,2,25987,475,0,0
3,539,1233,659,624,117,2,26211,476,0,0
3,539,1233,658,575,118,2,26435,478,0,0
3,539,1233,658,587,119,2,26659,477,0,0
3,539,1233,657,554,120,2,26883,477,0,0
3,539,1233,657,660,122,2,27331,479,0,0
3,537,1233,656,537,123,2,27555,478,0,0
3,537,1233,656,686,124,2,27779,475,0,0
3,537,1233,656,683,125,2,28003,478,0,0
3,537,1233,656,598,126,2,28227,480,0,0
3,537,1233,655,632,127,2,28451,476,0,0
3,537,1233,655,607,129,2,28899,481,0,0
3,537,1233,655,659,130,2,29123,475,0,0
