ThreadCount,min,max,avg,last,cnt,tps,bytes,bps,err,sum
4,1312,1555,1457,1312,4,1,900,414,0,0
4,1312,1638,1507,1488,8,1,1800,389,0,0
4,1312,1749,1571,1616,12,1,2700,381,0,0
4,1312,2404,1689,2403,14,1,3150,309,0,0
4,1312,2498,1783,2375,16,1,3600,346,0,0
4,1249,2498,1725,1273,18,1,4050,337,0,0
4,1211,2498,1674,1224,20,1,4500,364,0,0
4,1211,2498,1658,1334,21,1,4725,339,0,0
4,1211,2498,1706,2099,23,1,5175,343,0,0
4,1211,2498,1721,2056,24,1,5400,352,0,0
4,651,2498,1678,651,25,1,5624,362,0,0
4,651,2498,1653,1033,26,1,5849,352,0,0
4,651,2498,1624,1264,28,1,6299,368,0,0
4,651,2498,1600,933,29,1,6523,377,0,0
4,651,2498,1586,1364,31,1,6973,362,0,0
4,651,2498,1570,1386,33,1,7423,384,0,0
4,651,2498,1574,1720,37,1,8323,385,0,0
4,651,2498,1557,947,38,1,8547,370,0,0
4,651,2498,1551,1301,39,1,8772,372,0,0
4,651,2498,1537,1263,41,1,9222,386,0,0
4,637,2498,1516,637,42,1,9446,385,0,0
4,637,2498,1524,1856,43,1,9671,367,0,0
4,637,2498,1543,1883,45,1,10121,380,0,0
4,637,2498,1547,1708,46,1,10346,387,0,0
4,637,2498,1543,1386,47,1,10571,372,0,0
4,637,2498,1531,1179,50,1,11246,392,0,0
4,637,2498,1532,1565,51,1,11471,373,0,0
4,637,2498,1530,1432,54,1,12146,393,0,0
4,637,2498,1522,1284,58,1,13046,394,0,0
4,637,2498,1522,1523,62,1,13946,395,0,0
4,637,2498,1522,1473,64,1,14396,384,0,0
4,637,2498,1520,1443,66,1,14846,394,0,0
4,637,2498,1517,1321,67,1,15071,382,0,0
4,637,2498,1517,1388,70,1,15746,394,0,0
4,619,2498,1504,619,71,1,15970,393,0,0
4,619,2498,1501,1271,72,1,16195,387,0,0
4,619,2498,1496,1380,74,1,16645,394,0,0
4,619,2498,1489,910,75,1,16869,398,0,0
4,619,2498,1486,1289,76,1,17094,389,0,0
4,619,2498,1483,1291,77,1,17319,391,0,0
4,619,2498,1481,1320,78,1,17544,395,0,0
4,619,2498,1477,1159,79,1,17768,399,0,0
4,619,2498,1486,2149,80,1,17993,386,0,0
4,619,2498,1507,1983,83,1,18668,396,0,0
4,619,2498,1498,773,84,1,18892,394,0,0
4,619,2498,1485,973,87,1,19566,400,0,0
4,619,2498,1475,648,88,1,19790,400,0,0
4,619,2498,1475,1529,90,1,20240,396,0,0
4,619,2498,1476,1525,91,1,20465,400,0,0
4,619,2498,1471,1052,92,1,20689,403,0,0
4,619,2498,1467,1041,93,1,20914,398,0,0
4,619,2498,1463,1155,94,1,21139,399,0,0
4,619,2498,1456,1018,96,1,21588,405,0,0
4,619,2498,1459,1831,97,1,21813,394,0,0
4,619,2498,1465,2007,98,1,22038,397,0,0
4,619,2498,1470,1700,100,1,22488,404,0,0
4,619,2498,1464,915,101,1,22712,400,0,0
4,619,2498,1463,1284,102,1,22937,400,0,0
4,619,2498,1458,1145,104,1,23387,405,0,0
4,619,2498,1452,862,105,1,23611,406,0,0
4,619,2498,1451,1263,106,1,23836,403,0,0
4,619,2498,1448,1369,108,1,24286,405,0,0
4,619,2498,1445,1198,109,1,24511,408,0,0
4,619,2498,1438,644,110,1,24735,408,0,0
