ThreadCount,min,max,avg,last,cnt,tps,bytes,bps,err,sum
3,3028,3182,3105,3182,2,0,450,108,0,0
3,3028,6912,4374,6912,3,0,675,86,0,0
3,3028,6912,4283,4010,4,0,900,105,0,0
3,3028,6912,4195,3847,5,0,1125,125,0,0
3,3028,6912,4307,4868,6,0,1350,99,0,0
3,3028,6912,4361,4683,7,0,1575,113,0,0
3,3028,6912,4379,4507,8,0,1800,125,0,0
3,3028,6912,4277,3464,9,0,2025,113,0,0
3,3028,6912,4200,3504,10,0,2250,125,0,0
3,3028,6912,4132,3455,11,0,2475,132,0,0
3,3028,6912,4131,4115,12,0,2700,119,0,0
3,3028,6912,4129,4111,13,0,2925,128,0,0
3,3028,6912,4119,3989,14,0,3150,134,0,0
3,3028,6912,4144,4497,15,0,3375,121,0,0
3,3028,6912,4177,4663,16,0,3600,127,0,0
3,3028,6912,4192,4434,17,0,3825,134,0,0
3,3028,6912,4149,3417,18,0,4050,126,0,0
3,3028,6912,4121,3617,19,0,4275,131,0,0
3,3028,6912,4085,3398,20,0,4500,137,0,0
3,3028,6912,4095,4306,21,0,4725,128,0,0
3,3028,6912,4116,4242,23,0,5175,137,0,0
3,3028,6912,4091,3513,24,0,5400,130,0,0
3,3028,6912,4072,3633,25,0,5625,134,0,0
3,3028,6912,4057,4121,27,0,6075,131,0,0
3,3028,6912,4065,4119,29,0,6525,138,0,0
3,3028,6912,4047,3514,30,0,6750,133,0,0
3,3028,6912,4062,4281,32,0,7200,138,0,0
3,3028,6912,4051,3679,33,0,7425,134,0,0
3,3028,6912,4017,3447,35,0,7875,140,0,0
3,3028,6912,4030,4472,36,0,8100,134,0,0
