ThreadCount,min,max,avg,last,cnt,tps,bytes,bps,err,sum
3,1166,1342,1253,1166,3,1,675,326,0,0
3,1166,1385,1304,1309,6,1,1350,319,0,0
3,1166,1403,1327,1392,8,1,1800,291,0,0
3,1166,1403,1313,1199,9,1,2025,321,0,0
3,1166,1403,1316,1340,10,1,2250,275,0,0
3,1166,1421,1325,1329,12,1,2700,326,0,0
3,1091,1421,1311,1091,15,1,3374,329,0,0
3,1091,1421,1296,1228,18,1,4049,330,0,0
3,1091,1421,1286,1102,19,1,4274,310,0,0
3,1091,1421,1277,1112,20,1,4499,319,0,0
3,1016,1421,1265,1016,21,1,4723,333,0,0
3,1016,1421,1261,1190,22,1,4948,311,0,0
3,1016,1421,1251,1116,24,1,5398,332,0,0
3,815,1421,1233,815,25,1,5622,326,0,0
3,815,1421,1219,1055,27,1,6070,336,0,0
3,657,1421,1199,657,28,1,6294,335,0,0
3,657,1421,1196,1101,29,1,6519,327,0,0
3,657,1421,1194,1162,30,1,6744,336,0,0
3,657,1421,1182,810,31,1,6968,341,0,0
3,657,1421,1190,1164,34,1,7643,344,0,0
3,657,1421,1200,1213,37,1,8318,343,0,0
3,657,1421,1202,1287,38,1,8543,328,0,0
3,657,1421,1203,1199,40,1,8993,342,0,0
3,657,1421,1205,1254,41,1,9218,328,0,0
3,657,1421,1205,1212,43,1,9668,342,0,0
3,657,1421,1206,1230,44,1,9893,329,0,0
3,657,1421,1205,1146,46,1,10343,342,0,0
3,657,1422,1213,1207,49,1,11018,341,0,0
3,657,1422,1212,1180,50,1,11243,331,0,0
3,657,1422,1209,1072,52,1,11692,340,0,0
3,657,1422,1209,1197,53,1,11917,334,0,0
3,657,1422,1205,1084,55,1,12366,342,0,0
3,657,1422,1208,1248,57,1,12816,338,0,0
3,657,1422,1204,1024,58,1,13040,342,0,0
3,657,1422,1203,1126,59,1,13265,335,0,0
3,657,1422,1201,1145,61,1,13715,344,0,0
3,657,1458,1211,1379,64,1,14390,343,0,0
3,657,1466,1221,1357,67,1,15065,341,0,0
3,657,1466,1221,1226,68,1,15290,332,0,0
3,657,1466,1219,1154,70,1,15740,340,0,0
3,657,1466,1213,793,71,1,15964,337,0,0
3,657,1466,1208,1013,73,1,16412,341,0,0
3,555,1466,1199,555,74,1,16636,341,0,0
3,555,1466,1196,1086,76,1,17086,341,0,0
3,555,1466,1191,848,77,1,17310,344,0,0
3,555,1466,1193,1215,80,1,17985,345,0,0
3,555,1466,1194,1288,81,1,18210,338,0,0
3,555,1466,1195,1276,82,1,18435,340,0,0
3,555,1466,1196,1201,83,1,18660,344,0,0
3,555,1466,1195,1183,84,1,18885,338,0,0
3,555,1466,1195,1104,86,1,19335,344,0,0
3,555,1466,1191,841,87,1,19559,341,0,0
3,555,1466,1188,1050,89,1,20009,345,0,0
3,555,1655,1193,1655,90,1,20234,340,0,0
3,555,1655,1189,1151,92,1,20682,346,0,0
3,555,1655,1188,1063,93,1,20907,341,0,0
