ThreadCount,min,max,avg,last,cnt,tps,bytes,bps,err,sum
1,4074,4074,4074,4074,1,0,225,46,0,0
1,2342,4074,3208,2342,2,0,450,56,0,0
1,2342,4074,2959,2462,3,0,675,61,0,0
1,2342,4074,2905,2742,4,0,900,61,0,0
1,2342,4074,2818,2471,5,0,1125,62,0,0
1,2342,4074,2835,2920,6,0,1350,62,0,0
1,2342,4074,2781,2460,7,0,1575,64,0,0
1,2342,4074,2795,2895,8,0,1800,64,0,0
1,2342,4074,2752,2405,9,0,2025,64,0,0
1,2342,4074,2721,2441,10,0,2250,65,0,0
1,2342,4074,2697,2457,11,0,2475,65,0,0
1,2342,4074,2694,2669,12,0,2700,65,0,0
1,2342,4074,2675,2443,13,0,2925,66,0,0
1,2342,4074,2660,2470,14,0,3150,66,0,0
1,2342,4074,2673,2857,15,0,3375,66,0,0
1,2342,4074,2660,2467,16,0,3600,67,0,0
1,2342,4074,2649,2458,17,0,3825,67,0,0
1,2342,4074,2662,2900,18,0,4050,66,0,0
